,gender,attractiveness,likes,matches
283,FEMALE,0.19823001483275227,64,2
284,FEMALE,0.9742866911680598,392,16
285,FEMALE,0.2214660920504904,81,5
286,FEMALE,0.21713549072525495,75,3
287,FEMALE,0.8488193626823786,338,9
288,FEMALE,0.7265378979926154,277,12
289,FEMALE,0.9118073792188611,359,12
290,FEMALE,0.9242532010494809,366,10
291,FEMALE,0.4765334771414994,161,6
292,FEMALE,0.6697169310014189,241,9
293,FEMALE,0.4782444462655263,167,11
294,FEMALE,0.9739297742770492,387,9
295,FEMALE,0.39471110779175056,127,6
296,FEMALE,0.8523041449966461,327,11
297,FEMALE,0.26609832395687527,71,7
298,FEMALE,0.7668525757023736,280,11
299,FEMALE,0.5786746704319249,220,9
300,FEMALE,0.8944752926030868,360,14
301,FEMALE,0.27550517922294115,78,4
302,FEMALE,0.9342315459393045,375,13
303,FEMALE,0.18182648464564066,61,5
304,FEMALE,0.6466519668407974,238,8
305,FEMALE,0.6388903986727347,230,13
306,FEMALE,0.654640091790022,247,8
307,FEMALE,0.5026703060811768,162,5
308,FEMALE,0.010839096630197886,4,0
309,FEMALE,0.28629683394161065,93,5
310,FEMALE,0.37920739504621803,117,5
311,FEMALE,0.29352828280501,87,7
312,FEMALE,0.3495500454903777,111,3
313,FEMALE,0.40994935190316484,144,8
314,FEMALE,0.40124271909120135,118,2
315,FEMALE,0.13916643078885138,34,2
316,FEMALE,0.016377994097890536,4,1
317,FEMALE,0.6896925230866716,265,7
318,FEMALE,0.7125036191179294,277,10
319,FEMALE,0.6614414455720815,264,12
320,FEMALE,0.9954649004951406,395,15
321,FEMALE,0.5306644365437219,182,5
322,FEMALE,0.015770919313597864,6,0
323,FEMALE,0.6604064464740369,244,10
324,FEMALE,0.5808355499217328,209,10
325,FEMALE,0.8287575138700055,327,12
326,FEMALE,0.7010594346993152,248,7
327,FEMALE,0.009191582459641578,1,0
328,FEMALE,0.15080598683112645,46,4
329,FEMALE,0.6511469175114027,228,14
330,FEMALE,0.055498169670424424,9,0
